time,iter,loss,norm,elo,lr,dt,tok/sec,mfu
08/19/24 20:37:05, 5348,0.751879,0.144164,640.32,5.3016e-04,1365.81,47983.13,12.54
08/19/24 20:37:06, 5349,0.743234,0.170301,640.32,5.3014e-04,1365.07,48009.21,12.57
08/19/24 20:37:08, 5350,0.749486,0.136775,640.07,5.3011e-04,1715.01,38213.28,12.34
08/19/24 20:37:09, 5351,0.759997,0.179957,640.07,5.3009e-04,1363.94,48048.90,12.39
08/19/24 20:37:11, 5352,0.762981,0.150337,640.07,5.3006e-04,1361.85,48122.77,12.44
08/19/24 20:37:12, 5353,0.753863,0.165931,640.07,5.3003e-04,1365.79,47984.10,12.49
08/19/24 20:37:14, 5354,0.747647,0.189605,640.07,5.3001e-04,1366.55,47957.37,12.52
08/19/24 20:37:15, 5355,0.754638,0.162376,632.73,5.2998e-04,1600.92,40936.58,12.37
08/19/24 20:37:16, 5356,0.758554,0.141775,632.73,5.2996e-04,1364.55,48027.56,12.42
08/19/24 20:37:18, 5357,0.741246,0.138810,632.73,5.2993e-04,1366.91,47944.77,12.46
08/19/24 20:37:19, 5358,0.766177,0.185332,632.73,5.2991e-04,1366.65,47953.63,12.50
08/19/24 20:37:21, 5359,0.754262,0.141067,632.73,5.2988e-04,1365.78,47984.21,12.53
08/19/24 20:37:22, 5360,0.748295,0.159919,638.02,5.2986e-04,1592.84,41144.15,12.38
08/19/24 20:37:24, 5361,0.746136,0.139435,638.02,5.2983e-04,1365.01,48011.20,12.43
08/19/24 20:37:25, 5362,0.751390,0.156485,638.02,5.2981e-04,1367.11,47937.60,12.47
08/19/24 20:37:26, 5363,0.757929,0.171352,638.02,5.2978e-04,1365.16,48006.25,12.51
08/19/24 20:37:28, 5364,0.761948,0.158776,638.02,5.2975e-04,1362.95,48084.04,12.55
08/19/24 20:37:29, 5365,0.755032,0.176283,644.41,5.2973e-04,1647.72,39773.73,12.36
08/19/24 20:37:31, 5366,0.748438,0.166441,644.41,5.2970e-04,1368.43,47891.55,12.41
08/19/24 20:37:32, 5367,0.755089,0.167861,644.41,5.2968e-04,1367.81,47913.18,12.45
08/19/24 20:37:33, 5368,0.758352,0.139662,644.41,5.2965e-04,1365.47,47995.21,12.49
08/19/24 20:37:35, 5369,0.756954,0.144443,644.41,5.2963e-04,1365.37,47998.84,12.53
08/19/24 20:37:36, 5370,0.748473,0.182788,644.41,5.2960e-04,1563.21,41924.09,12.40
08/19/24 20:37:38, 5371,0.741286,0.160730,644.41,5.2958e-04,1363.77,48054.87,12.45
08/19/24 20:37:39, 5372,0.761525,0.135364,644.41,5.2955e-04,1366.76,47949.80,12.49
08/19/24 20:37:40, 5373,0.755186,0.173557,644.41,5.2952e-04,1365.72,47986.34,12.52
08/19/24 20:37:42, 5374,0.742276,0.133889,644.41,5.2950e-04,1365.74,47985.61,12.56
08/19/24 20:37:43, 5375,0.760968,0.142359,643.78,5.2947e-04,1587.82,41274.19,12.41
08/19/24 20:37:45, 5376,0.749246,0.132035,643.78,5.2945e-04,1368.48,47889.53,12.45
08/19/24 20:37:46, 5377,0.751467,0.126510,643.78,5.2942e-04,1368.89,47875.33,12.49
08/19/24 20:37:47, 5378,0.751224,0.128132,643.78,5.2940e-04,1365.62,47990.09,12.52
08/19/24 20:37:49, 5379,0.765152,0.118098,643.78,5.2937e-04,1364.55,48027.49,12.56
08/19/24 20:37:50, 5380,0.753875,0.125789,654.02,5.2935e-04,1624.21,40349.55,12.38
08/19/24 20:37:52, 5381,0.753565,0.130637,654.02,5.2932e-04,1368.89,47875.28,12.43
08/19/24 20:37:53, 5382,0.748829,0.132922,654.02,5.2930e-04,1362.40,48103.20,12.47
08/19/24 20:37:55, 5383,0.736394,0.138600,654.02,5.2927e-04,1365.39,47997.95,12.51
08/19/24 20:37:56, 5384,0.754335,0.165665,654.02,5.2924e-04,1366.10,47972.91,12.55
08/19/24 20:37:58, 5385,0.739864,0.134277,663.09,5.2922e-04,1598.98,40986.23,12.39
08/19/24 20:37:59, 5386,0.748618,0.146691,663.09,5.2919e-04,1366.64,47954.22,12.44
08/19/24 20:38:00, 5387,0.756426,0.151903,663.09,5.2917e-04,1366.63,47954.46,12.48
08/19/24 20:38:02, 5388,0.757901,0.168618,663.09,5.2914e-04,1366.04,47975.13,12.51
08/19/24 20:38:03, 5389,0.751808,0.164879,663.09,5.2912e-04,1365.71,47986.86,12.55
08/19/24 20:38:05, 5390,0.749047,0.143909,656.32,5.2909e-04,1632.95,40133.55,12.37
08/19/24 20:38:06, 5391,0.746954,0.166934,656.32,5.2907e-04,1367.74,47915.38,12.42
08/19/24 20:38:07, 5392,0.753493,0.128650,656.32,5.2904e-04,1364.57,48026.79,12.46
08/19/24 20:38:09, 5393,0.761799,0.166257,656.32,5.2901e-04,1367.49,47924.26,12.50
08/19/24 20:38:10, 5394,0.754465,0.157766,656.32,5.2899e-04,1365.90,47979.92,12.53
08/19/24 20:38:12, 5395,0.758305,0.170854,654.07,5.2896e-04,1569.67,41751.42,12.40
08/19/24 20:38:13, 5396,0.743838,0.154142,654.07,5.2894e-04,1365.23,48003.78,12.45
08/19/24 20:38:14, 5397,0.743265,0.172807,654.07,5.2891e-04,1363.87,48051.67,12.49
08/19/24 20:38:16, 5398,0.758337,0.141813,654.07,5.2889e-04,1364.10,48043.53,12.53
08/19/24 20:38:17, 5399,0.755766,0.161334,654.07,5.2886e-04,1367.70,47917.09,12.56
08/19/24 20:38:19, 5400,0.747858,0.176100,655.52,5.2883e-04,1588.42,41258.59,12.41
08/19/24 20:38:20, 5401,0.748938,0.145878,655.52,5.2881e-04,1363.17,48076.21,12.46
08/19/24 20:38:21, 5402,0.745946,0.173378,655.52,5.2878e-04,1366.47,47960.19,12.49
08/19/24 20:38:23, 5403,0.753628,0.139299,655.52,5.2876e-04,1365.78,47984.38,12.53
08/19/24 20:38:24, 5404,0.736301,0.144089,655.52,5.2873e-04,1366.50,47959.04,12.56
08/19/24 20:38:26, 5405,0.751158,0.144814,654.70,5.2871e-04,1625.49,40317.71,12.39
08/19/24 20:38:27, 5406,0.751416,0.146446,654.70,5.2868e-04,1365.79,47983.97,12.43
08/19/24 20:38:29, 5407,0.741292,0.132809,654.70,5.2866e-04,1365.99,47976.98,12.48
08/19/24 20:38:30, 5408,0.737693,0.184238,654.70,5.2863e-04,1368.90,47874.97,12.51
08/19/24 20:38:31, 5409,0.757360,0.169249,654.70,5.2860e-04,1365.87,47981.10,12.55
08/19/24 20:38:33, 5410,0.746154,0.199395,670.30,5.2858e-04,1542.80,42478.55,12.43
08/19/24 20:38:34, 5411,0.747561,0.145489,670.30,5.2855e-04,1368.33,47894.90,12.47
08/19/24 20:38:36, 5412,0.749689,0.168972,670.30,5.2853e-04,1366.82,47947.94,12.51
08/19/24 20:38:37, 5413,0.753989,0.131199,670.30,5.2850e-04,1364.80,48018.60,12.54
08/19/24 20:38:38, 5414,0.743984,0.130744,670.30,5.2848e-04,1367.43,47926.36,12.57
08/19/24 20:38:40, 5415,0.770169,0.146815,676.56,5.2845e-04,1855.83,35313.50,12.26
08/19/24 20:38:41, 5416,0.745879,0.128820,676.56,5.2842e-04,1367.54,47922.65,12.32
08/19/24 20:38:43, 5417,0.756676,0.123494,676.56,5.2840e-04,1362.94,48084.21,12.38
08/19/24 20:38:44, 5418,0.760310,0.119104,676.56,5.2837e-04,1365.11,48007.72,12.42
08/19/24 20:38:46, 5419,0.750872,0.150827,676.56,5.2835e-04,1367.79,47913.81,12.47
08/19/24 20:38:47, 5420,0.752334,0.146119,672.72,5.2832e-04,1596.09,41060.27,12.32
08/19/24 20:38:49, 5421,0.752324,0.136209,672.72,5.2830e-04,1366.88,47945.83,12.37
08/19/24 20:38:50, 5422,0.741066,0.143773,672.72,5.2827e-04,1362.08,48114.59,12.42
